Energy,CF_2,HF,CF_3,CH,CF,CHF,CHF_2,C,F
3924.5,0.0400427846068105,0.0028854644417543,0.3165494979757516,0.0031156871901651,0.077857015886338,0.009594695309625,0.2006046976127523,0.0040200145012432,0.0046033218621675
3925.0,0.040038585286648,0.0028851619943283,0.316516292727217,0.003115360633017,0.0778488515277052,0.009593689166152,0.2005836563028035,0.004019593264251,0.0046028396056775
3925.5,0.0400343869060312,0.0028848596145244,0.3164830949105139,0.0031150341488748,0.0778406889955722,0.0095926832477727,0.2005626197017216,0.0040191721214002,0.004602357456935
3926.0,0.0400301894646375,0.0028845573023194,0.3164499045230894,0.0031147077377136,0.0778325282893119,0.00959167755441,0.2005415878078894,0.0040187510726584,0.0046018754159028
3926.5,0.0400259929621445,0.0028842550576901,0.3164167215623917,0.0031143813995082,0.0778243694082976,0.0095906720859865,0.2005205606196901,0.0040183301179936,0.0046013934825442
3927.0,0.0400217973982297,0.0028839528806133,0.3163835460258701,0.0031140551342338,0.0778162123519026,0.009589666842425,0.2004995381355078,0.0040179092573734,0.0046009116568221
3927.5,0.0400176027725712,0.0028836507710658,0.316350377910975,0.0031137289418653,0.0778080571195008,0.0095886618236483,0.2004785203537274,0.0040174884907655,0.0046004299386998
3928.0,0.0400134090848467,0.0028833487290245,0.3163172172151582,0.0031134028223777,0.0777999037104661,0.0095876570295794,0.2004575072727343,0.0040170678181378,0.0045999483281403
3928.5,0.0400092163347345,0.0028830467544663,0.3162840639358726,0.0031130767757459,0.0777917521241731,0.0095866524601411,0.2004364988909151,0.004016647239458,0.0045994668251068
3929.0,0.0400050245219128,0.0028827448473679,0.3162509180705722,0.0031127508019451,0.0777836023599962,0.0095856481152563,0.2004154952066569,0.004016226754694,0.0045989854295626
3929.5,0.0400008336460601,0.0028824430077063,0.3162177796167122,0.0031124249009503,0.0777754544173105,0.009584643994848,0.2003944962183472,0.0040158063638136,0.0045985041414706
3930.0,0.0399966437068549,0.0028821412354584,0.3161846485717492,0.0031120990727365,0.077767308295491,0.0095836400988392,0.2003735019243749,0.0040153860667846,0.0045980229607943
3930.5,0.039992454703976,0.002881839530601,0.3161515249331406,0.0031117733172787,0.0777591639939135,0.0095826364271529,0.2003525123231291,0.0040149658635749,0.0045975418874967
3931.0,0.0399882666371021,0.0028815378931111,0.3161184086983454,0.0031114476345521,0.0777510215119535,0.0095816329797122,0.2003315274130001,0.0040145457541523,0.0045970609215411
3931.5,0.0399840795059125,0.0028812363229656,0.3160852998648232,0.0031111220245317,0.0777428808489873,0.0095806297564403,0.2003105471923785,0.0040141257384847,0.0045965800628909
3932.0,0.0399798933100861,0.0028809348201414,0.3160521984300354,0.0031107964871927,0.0777347420043911,0.0095796267572602,0.2002895716596559,0.00401370581654,0.0045960993115091
